iteration,variant,accepted,latency_ms,reason
1,cod_validation_only,True,1.10925,valid chain of delegation
1,cod_validation_plus_capability_realization,True,3.924583,valid chain of delegation
1,capability_verification_without_holder_proof,True,1.851083,valid capability in no-holder-proof ablation mode
1,capability_verification_with_holder_proof_no_state,True,6.198084,valid holder-bound capability presentation
1,full_stateful_holder_bound_capability_verification,True,6.654792,valid holder-bound capability presentation
1,full_cod_mdtwin_holder_bound_flow,True,22.789292,valid holder-bound capability presentation
2,cod_validation_only,True,1.070125,valid chain of delegation
2,cod_validation_plus_capability_realization,True,3.032958,valid chain of delegation
2,capability_verification_without_holder_proof,True,2.047125,valid capability in no-holder-proof ablation mode
2,capability_verification_with_holder_proof_no_state,True,5.694334,valid holder-bound capability presentation
2,full_stateful_holder_bound_capability_verification,True,6.791251,valid holder-bound capability presentation
2,full_cod_mdtwin_holder_bound_flow,True,22.79325,valid holder-bound capability presentation
3,cod_validation_only,True,1.075458,valid chain of delegation
3,cod_validation_plus_capability_realization,True,2.988958,valid chain of delegation
3,capability_verification_without_holder_proof,True,1.981,valid capability in no-holder-proof ablation mode
3,capability_verification_with_holder_proof_no_state,True,6.113041,valid holder-bound capability presentation
3,full_stateful_holder_bound_capability_verification,True,6.305334,valid holder-bound capability presentation
3,full_cod_mdtwin_holder_bound_flow,True,22.9025,valid holder-bound capability presentation
4,cod_validation_only,True,1.069333,valid chain of delegation
4,cod_validation_plus_capability_realization,True,3.172291,valid chain of delegation
4,capability_verification_without_holder_proof,True,1.944167,valid capability in no-holder-proof ablation mode
4,capability_verification_with_holder_proof_no_state,True,5.461125,valid holder-bound capability presentation
4,full_stateful_holder_bound_capability_verification,True,6.779207,valid holder-bound capability presentation
4,full_cod_mdtwin_holder_bound_flow,True,22.825833,valid holder-bound capability presentation
5,cod_validation_only,True,1.091833,valid chain of delegation
5,cod_validation_plus_capability_realization,True,2.969125,valid chain of delegation
5,capability_verification_without_holder_proof,True,2.154292,valid capability in no-holder-proof ablation mode
5,capability_verification_with_holder_proof_no_state,True,5.764916,valid holder-bound capability presentation
5,full_stateful_holder_bound_capability_verification,True,6.777251,valid holder-bound capability presentation
5,full_cod_mdtwin_holder_bound_flow,True,24.10275,valid holder-bound capability presentation
6,cod_validation_only,True,1.062084,valid chain of delegation
6,cod_validation_plus_capability_realization,True,2.86225,valid chain of delegation
6,capability_verification_without_holder_proof,True,1.730125,valid capability in no-holder-proof ablation mode
6,capability_verification_with_holder_proof_no_state,True,5.913791,valid holder-bound capability presentation
6,full_stateful_holder_bound_capability_verification,True,6.878333,valid holder-bound capability presentation
6,full_cod_mdtwin_holder_bound_flow,True,23.690333,valid holder-bound capability presentation
7,cod_validation_only,True,1.096166,valid chain of delegation
7,cod_validation_plus_capability_realization,True,2.910833,valid chain of delegation
7,capability_verification_without_holder_proof,True,1.821625,valid capability in no-holder-proof ablation mode
7,capability_verification_with_holder_proof_no_state,True,5.837874,valid holder-bound capability presentation
7,full_stateful_holder_bound_capability_verification,True,6.494958,valid holder-bound capability presentation
7,full_cod_mdtwin_holder_bound_flow,True,22.802458,valid holder-bound capability presentation
8,cod_validation_only,True,1.050292,valid chain of delegation
8,cod_validation_plus_capability_realization,True,3.004333,valid chain of delegation
8,capability_verification_without_holder_proof,True,2.023667,valid capability in no-holder-proof ablation mode
8,capability_verification_with_holder_proof_no_state,True,5.927083,valid holder-bound capability presentation
8,full_stateful_holder_bound_capability_verification,True,6.759375,valid holder-bound capability presentation
8,full_cod_mdtwin_holder_bound_flow,True,22.8335,valid holder-bound capability presentation
9,cod_validation_only,True,1.05025,valid chain of delegation
9,cod_validation_plus_capability_realization,True,2.884917,valid chain of delegation
9,capability_verification_without_holder_proof,True,2.024208,valid capability in no-holder-proof ablation mode
9,capability_verification_with_holder_proof_no_state,True,5.667625,valid holder-bound capability presentation
9,full_stateful_holder_bound_capability_verification,True,6.80046,valid holder-bound capability presentation
9,full_cod_mdtwin_holder_bound_flow,True,22.9775,valid holder-bound capability presentation
10,cod_validation_only,True,1.260625,valid chain of delegation
10,cod_validation_plus_capability_realization,True,3.588584,valid chain of delegation
10,capability_verification_without_holder_proof,True,1.961458,valid capability in no-holder-proof ablation mode
10,capability_verification_with_holder_proof_no_state,True,6.110292,valid holder-bound capability presentation
10,full_stateful_holder_bound_capability_verification,True,6.455583,valid holder-bound capability presentation
10,full_cod_mdtwin_holder_bound_flow,True,25.646042,valid holder-bound capability presentation
11,cod_validation_only,True,1.249334,valid chain of delegation
11,cod_validation_plus_capability_realization,True,3.826458,valid chain of delegation
11,capability_verification_without_holder_proof,True,2.053833,valid capability in no-holder-proof ablation mode
11,capability_verification_with_holder_proof_no_state,True,6.250417,valid holder-bound capability presentation
11,full_stateful_holder_bound_capability_verification,True,7.197832,valid holder-bound capability presentation
11,full_cod_mdtwin_holder_bound_flow,True,26.559458,valid holder-bound capability presentation
12,cod_validation_only,True,1.301166,valid chain of delegation
12,cod_validation_plus_capability_realization,True,3.889,valid chain of delegation
12,capability_verification_without_holder_proof,True,2.070084,valid capability in no-holder-proof ablation mode
12,capability_verification_with_holder_proof_no_state,True,6.883,valid holder-bound capability presentation
12,full_stateful_holder_bound_capability_verification,True,7.26425,valid holder-bound capability presentation
12,full_cod_mdtwin_holder_bound_flow,True,26.040458,valid holder-bound capability presentation
13,cod_validation_only,True,1.453125,valid chain of delegation
13,cod_validation_plus_capability_realization,True,3.660083,valid chain of delegation
13,capability_verification_without_holder_proof,True,2.278375,valid capability in no-holder-proof ablation mode
13,capability_verification_with_holder_proof_no_state,True,7.980041,valid holder-bound capability presentation
13,full_stateful_holder_bound_capability_verification,True,9.488666,valid holder-bound capability presentation
13,full_cod_mdtwin_holder_bound_flow,True,27.837791,valid holder-bound capability presentation
14,cod_validation_only,True,1.355208,valid chain of delegation
14,cod_validation_plus_capability_realization,True,3.627,valid chain of delegation
14,capability_verification_without_holder_proof,True,1.860625,valid capability in no-holder-proof ablation mode
14,capability_verification_with_holder_proof_no_state,True,6.374875,valid holder-bound capability presentation
14,full_stateful_holder_bound_capability_verification,True,6.937251,valid holder-bound capability presentation
14,full_cod_mdtwin_holder_bound_flow,True,24.913375,valid holder-bound capability presentation
